"","ATL","BOS","BRK","CHI","CHO","CLE","DAL","DEN","DET","GSW","HOU","IND","LAC","LAL","MEM","MIA","MIL","MIN","NOP","NYK","OKC","ORL","PHI","PHO","POR","SAC","SAS","TOR","UTA","WAS"
"HOU","0.000","0.500","1.000","1.000","1.000","0.500","1.000","1.000","0.500","0.250",NA,"0.000","0.667","0.667","0.500","0.000","0.500","0.750","0.750","1.000","0.750","1.000","1.000","1.000","0.667","1.000","0.250","0.500","0.333","1.000"
"IND","0.667","0.000","0.750","0.500","0.500","0.250","0.500","0.000","1.000","0.000","1.000",NA,"1.000","0.500","0.500","0.333","0.250","0.500","0.500","0.250","1.000","1.000","0.750","0.500","0.500","1.000","0.000","0.333","0.500","0.250"
"LAC","1.000","0.500","0.500","1.000","1.000","1.000","0.500","0.250","0.500","0.000","0.333","0.000",NA,"0.750","0.750","1.000","0.000","0.333","0.667","1.000","0.500","1.000","0.500","1.000","1.000","0.750","0.750","0.500","0.750","0.500"
"LAL","1.000","0.000","0.500","0.500","0.000","0.000","0.000","0.333","0.000","0.250","0.333","0.500","0.250",NA,"0.667","0.500","0.500","0.500","0.500","0.500","0.333","0.500","0.500","0.500","0.000","0.500","0.250","0.000","0.000","0.000"
"MEM","0.500","0.000","0.500","0.500","0.500","0.500","0.500","1.000","0.500","0.500","0.500","0.500","0.250","0.333",NA,"0.500","0.500","0.750","0.500","0.500","0.250","0.500","1.000","1.000","0.333","0.500","0.500","0.500","0.750","0.500"
"MIA","0.500","0.000","1.000","0.333","0.500","0.750","0.500","0.500","0.500","0.500","1.000","0.667","0.000","0.500","0.500",NA,"0.750","1.000","0.500","0.333","0.000","0.250","0.500","0.500","0.000","1.000","0.000","0.250","0.500","1.000"
"MIL","0.250","0.333","1.000","0.750","0.667","0.250","0.000","0.000","0.750","0.000","0.500","0.750","1.000","0.500","0.500","0.250",NA,"0.500","0.500","0.667","0.500","0.667","0.500","1.000","1.000","1.000","0.500","0.250","0.000","0.250"
"MIN","1.000","0.000","0.500","1.000","0.500","0.000","0.667","0.500","0.000","0.250","0.250","0.500","0.667","0.500","0.250","0.000","0.500",NA,"0.000","0.000","0.250","1.000","0.500","1.000","0.250","0.250","0.000","0.500","0.250","0.500"
"NOP","0.500","0.500","0.500","0.000","1.000","0.500","0.500","0.250","0.500","0.000","0.250","0.500","0.333","0.500","0.500","0.500","0.500","1.000",NA,"1.000","0.000","0.500","0.500","0.750","0.750","0.333","0.250","0.000","0.000","0.000"
"NYK","0.250","0.250","0.500","1.000","0.667","0.000","0.500","0.000","0.500","0.000","0.000","0.750","0.000","0.500","0.500","0.667","0.333","1.000","0.000",NA,"0.000","0.750","0.500","0.000","0.500","1.000","0.500","0.000","0.000","0.000"
"OKC","0.500","1.000","1.000","0.500","0.000","0.500","0.667","0.750","0.500","0.000","0.250","0.000","0.500","0.667","0.750","1.000","0.500","0.750","1.000","1.000",NA,"0.500","1.000","0.500","0.250","0.667","0.333","0.500","0.750","0.500"
"ORL","0.500","0.000","0.667","0.250","0.000","0.000","0.500","0.000","0.750","0.000","0.000","0.000","0.000","0.500","0.500","0.750","0.333","0.000","0.500","0.250","0.500",NA,"0.750","0.500","0.500","0.500","0.500","0.500","0.000","0.500"
"PHI","0.000","0.250","0.750","0.250","0.667","0.000","0.500","0.500","0.333","0.000","0.000","0.250","0.500","0.500","0.000","0.500","0.500","0.500","0.500","0.500","0.000","0.250",NA,"0.500","0.500","0.500","0.000","0.250","0.000","0.667"
"PHO","0.500","0.500","0.000","0.500","0.500","0.000","0.750","0.000","0.500","0.000","0.000","0.500","0.000","0.500","0.000","0.500","0.000","0.000","0.250","1.000","0.500","0.500","0.500",NA,"0.250","0.250","0.333","1.000","0.000","0.000"
"POR","0.500","0.500","1.000","0.500","0.500","0.500","0.500","0.750","0.000","0.000","0.333","0.500","0.000","1.000","0.667","1.000","0.000","0.750","0.250","0.500","0.750","0.500","0.500","0.750",NA,"0.667","0.500","0.000","0.500","0.000"
"SAC","0.500","0.500","0.500","0.000","0.500","0.500","0.667","0.500","1.000","0.250","0.000","0.000","0.250","0.500","0.500","0.000","0.000","0.750","0.667","0.000","0.333","0.500","0.500","0.750","0.333",NA,"0.000","1.000","0.250","0.000"
"SAS","0.500","1.000","1.000","0.500","1.000","1.000","0.750","1.000","1.000","0.667","0.750","1.000","0.250","0.750","0.500","1.000","0.500","1.000","0.750","0.500","0.667","0.500","1.000","0.667","0.500","1.000",NA,"1.000","0.500","1.000"
"TOR","0.333","0.750","1.000","0.333","0.500","0.250","1.000","1.000","0.750","0.000","0.500","0.667","0.500","1.000","0.500","0.750","0.750","0.500","1.000","1.000","0.500","0.500","0.750","0.000","1.000","0.000","0.000",NA,"1.000","0.667"
"UTA","1.000","0.000","1.000","0.000","0.500","0.500","0.750","0.500","1.000","0.333","0.667","0.500","0.250","1.000","0.250","0.500","1.000","0.750","1.000","1.000","0.250","1.000","1.000","1.000","0.500","0.750","0.500","0.000",NA,"1.000"
"WAS","0.750","0.500","1.000","0.750","0.750","0.333","0.000","1.000","0.667","0.500","0.000","0.750","0.500","1.000","0.500","0.000","0.750","0.500","1.000","1.000","0.500","0.500","0.333","1.000","1.000","1.000","0.000","0.333","0.000",NA
