"FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","y","home"
39,90,0.433,10,28,0.357,18,20,0.9,14,51,23,9,8,12,15,37,93,0.398,7,19,0.368,19,22,0.864,13,48,19,8,8,11,19,1,0
33,90,0.367,8,27,0.296,12,16,0.75,13,43,22,8,7,12,20,36,79,0.456,6,25,0.24,18,24,0.75,8,50,12,10,5,12,18,0,0
37,74,0.5,10,26,0.385,16,20,0.8,9,43,24,11,9,17,11,32,86,0.372,13,27,0.481,10,13,0.769,15,42,19,10,7,16,14,1,0
39,81,0.481,6,20,0.3,14,18,0.778,6,47,26,7,7,14,19,36,100,0.36,7,31,0.226,16,19,0.842,20,51,18,7,3,9,15,1,1
35,78,0.449,10,28,0.357,14,23,0.609,5,34,21,9,7,9,19,39,80,0.488,9,17,0.529,20,26,0.769,10,52,24,6,2,14,16,0,1
30,80,0.375,5,24,0.208,13,16,0.813,7,33,21,15,3,17,15,36,74,0.486,10,20,0.5,21,22,0.955,6,49,26,11,2,23,16,0,0
33,84,0.393,8,33,0.242,14,15,0.933,7,37,25,7,4,14,21,40,89,0.449,7,16,0.438,13,15,0.867,15,54,26,6,5,15,16,0,0
48,78,0.615,10,21,0.476,21,24,0.875,2,25,32,11,7,12,21,39,75,0.52,12,26,0.462,16,24,0.667,7,32,20,5,2,22,21,1,0
41,88,0.466,4,20,0.2,23,29,0.793,9,42,23,11,4,12,28,34,77,0.442,10,23,0.435,23,31,0.742,6,43,19,5,2,21,25,1,1
39,78,0.5,11,22,0.5,14,20,0.7,8,41,25,6,7,19,21,38,81,0.469,4,12,0.333,20,24,0.833,8,36,27,16,5,13,22,1,1
37,77,0.481,9,29,0.31,23,28,0.821,2,31,21,8,1,10,17,38,81,0.469,5,24,0.208,16,22,0.727,14,50,24,5,4,18,20,1,0
43,89,0.483,6,20,0.3,15,20,0.75,10,42,25,8,4,13,25,38,89,0.427,7,21,0.333,17,33,0.515,13,46,18,7,9,14,20,1,0
47,88,0.534,8,25,0.32,15,18,0.833,10,37,33,13,4,9,17,39,81,0.481,7,24,0.292,13,17,0.765,12,42,25,6,8,22,15,1,0
31,74,0.419,6,25,0.24,19,25,0.76,8,44,16,9,6,20,16,38,87,0.437,7,26,0.269,10,18,0.556,11,40,9,16,3,14,20,0,1
43,99,0.434,14,41,0.341,21,25,0.84,17,45,27,10,7,12,24,39,72,0.542,11,20,0.55,26,39,0.667,7,46,23,6,4,19,21,1,1
37,84,0.44,8,26,0.308,15,20,0.75,8,32,26,11,5,15,14,44,88,0.5,11,26,0.423,12,14,0.857,12,46,27,8,7,16,19,0,1
37,87,0.425,15,39,0.385,12,19,0.632,14,41,22,3,4,13,24,40,84,0.476,5,18,0.278,22,24,0.917,11,46,20,7,6,9,20,0,0
49,92,0.533,13,32,0.406,15,19,0.789,14,48,36,18,6,16,23,39,86,0.453,5,18,0.278,15,25,0.6,14,43,21,9,4,22,17,1,1
49,94,0.521,10,24,0.417,12,15,0.8,8,40,33,15,13,15,22,36,83,0.434,7,18,0.389,26,31,0.839,12,46,16,7,6,21,13,1,0
30,81,0.37,7,25,0.28,17,21,0.81,6,37,17,5,4,16,21,36,82,0.439,13,39,0.333,22,26,0.846,11,54,26,8,9,16,24,0,1
43,100,0.43,9,30,0.3,6,6,1,7,43,29,5,9,17,25,40,96,0.417,3,10,0.3,25,37,0.676,21,60,19,9,13,16,14,0,1
44,79,0.557,8,29,0.276,18,24,0.75,5,40,34,14,5,10,20,34,78,0.436,6,20,0.3,12,19,0.632,7,36,22,5,3,17,17,1,0
41,80,0.513,9,19,0.474,7,10,0.7,4,47,31,9,6,17,20,30,87,0.345,6,22,0.273,15,20,0.75,11,42,21,11,5,13,13,1,0
39,87,0.448,10,24,0.417,16,23,0.696,10,43,25,7,3,13,13,41,94,0.436,9,31,0.29,7,11,0.636,13,50,23,5,4,12,18,1,1
35,84,0.417,8,33,0.242,10,15,0.667,7,42,21,15,9,19,19,33,92,0.359,7,24,0.292,18,24,0.75,17,56,24,13,4,19,14,0,1
34,84,0.405,12,34,0.353,15,18,0.833,11,43,23,8,7,16,17,34,85,0.4,10,24,0.417,20,26,0.769,15,52,22,10,6,17,17,0,1
43,86,0.5,9,27,0.333,24,26,0.923,10,42,28,11,3,14,24,33,84,0.393,6,20,0.3,33,37,0.892,12,43,18,10,3,15,18,1,1
33,79,0.418,10,23,0.435,7,14,0.5,8,49,21,6,3,22,17,33,85,0.388,5,27,0.185,14,21,0.667,9,46,18,16,5,11,14,0,0
33,83,0.398,7,28,0.25,19,21,0.905,5,32,20,9,4,14,22,38,78,0.487,9,15,0.6,26,30,0.867,10,49,20,10,8,16,17,0,1
27,70,0.386,5,22,0.227,28,32,0.875,2,31,13,10,3,17,23,39,81,0.481,5,20,0.25,22,26,0.846,10,47,21,10,4,18,23,0,1
42,80,0.525,14,35,0.4,14,19,0.737,5,50,29,2,6,15,25,31,85,0.365,7,26,0.269,28,38,0.737,10,37,14,5,2,6,18,1,0
48,92,0.522,10,20,0.5,18,25,0.72,11,52,28,13,7,18,12,35,84,0.417,6,27,0.222,10,14,0.714,6,38,27,7,10,23,20,1,1
39,76,0.513,10,27,0.37,14,20,0.7,3,32,29,10,5,15,16,38,91,0.418,13,31,0.419,7,9,0.778,19,53,23,6,4,19,18,1,0
35,91,0.385,13,28,0.464,11,15,0.733,18,50,22,7,7,16,13,39,85,0.459,7,25,0.28,11,12,0.917,8,43,24,9,10,18,13,0,1
43,92,0.467,12,29,0.414,12,20,0.6,8,47,31,9,4,14,20,46,93,0.495,9,29,0.31,16,22,0.727,6,47,37,11,8,13,22,0,0
43,90,0.478,13,33,0.394,14,15,0.933,11,46,25,16,7,12,14,38,86,0.442,5,14,0.357,9,12,0.75,11,45,21,7,3,18,17,1,1
41,87,0.471,16,36,0.444,13,13,1,8,42,27,7,4,21,23,44,88,0.5,8,20,0.4,19,28,0.679,10,46,27,13,1,14,12,0,0
44,106,0.415,9,41,0.22,12,18,0.667,10,49,31,11,8,16,27,46,104,0.442,3,17,0.176,22,32,0.688,17,65,23,12,10,17,21,0,0
36,86,0.419,10,34,0.294,10,16,0.625,8,47,23,7,7,17,17,39,89,0.438,14,45,0.311,10,12,0.833,6,43,30,14,8,13,17,0,0
37,89,0.416,7,34,0.206,22,24,0.917,13,48,28,14,11,11,21,32,88,0.364,5,20,0.25,19,22,0.864,17,49,19,3,2,20,20,1,0
38,77,0.494,8,17,0.471,3,5,0.6,6,48,29,4,5,15,19,27,81,0.333,7,32,0.219,15,23,0.652,10,41,16,7,4,6,12,1,0
37,80,0.463,12,33,0.364,19,24,0.792,7,42,25,9,5,17,17,41,103,0.398,12,36,0.333,15,17,0.882,18,51,28,11,3,11,22,0,1
37,68,0.544,13,28,0.464,19,26,0.731,3,39,31,6,8,10,18,29,85,0.341,5,27,0.185,14,20,0.7,17,46,19,5,1,10,16,1,1
40,89,0.449,10,27,0.37,17,20,0.85,10,53,26,9,3,18,26,34,79,0.43,12,32,0.375,17,28,0.607,6,41,22,10,10,18,20,1,1
38,80,0.475,8,25,0.32,7,14,0.5,4,41,15,9,4,16,19,30,86,0.349,7,26,0.269,17,23,0.739,15,54,16,10,4,20,14,1,1
35,82,0.427,7,23,0.304,19,27,0.704,6,33,17,8,5,11,24,38,82,0.463,7,24,0.292,21,29,0.724,11,48,16,6,3,13,24,0,1
36,84,0.429,11,34,0.324,12,17,0.706,8,47,27,9,12,11,14,33,95,0.347,6,23,0.261,11,14,0.786,20,58,15,10,5,16,14,1,0
40,85,0.471,15,30,0.5,9,10,0.9,9,50,27,11,6,15,13,33,87,0.379,5,24,0.208,4,7,0.571,7,38,24,9,5,16,14,1,0
39,89,0.438,12,34,0.353,28,34,0.824,8,46,25,10,3,12,26,39,84,0.464,8,25,0.32,28,39,0.718,9,48,23,3,4,13,25,1,1
40,80,0.5,12,26,0.462,24,28,0.857,7,40,32,5,8,12,16,39,87,0.448,6,22,0.273,14,17,0.824,9,39,22,6,4,14,22,1,0
44,88,0.5,14,38,0.368,7,12,0.583,9,40,32,12,6,16,20,33,84,0.393,5,23,0.217,26,31,0.839,15,51,15,11,3,17,17,1,0
38,78,0.487,13,33,0.394,13,17,0.765,2,33,23,5,6,14,15,46,91,0.505,13,25,0.52,12,20,0.6,9,44,27,10,3,9,17,0,0
45,84,0.536,17,42,0.405,15,22,0.682,7,41,32,10,5,16,17,39,92,0.424,12,30,0.4,11,12,0.917,10,43,25,7,2,18,22,1,1
41,97,0.423,5,32,0.156,14,17,0.824,17,45,26,10,6,11,21,35,84,0.417,3,13,0.231,17,26,0.654,16,49,16,4,9,15,16,1,0
43,95,0.453,13,34,0.382,13,14,0.929,5,39,34,6,7,4,21,34,88,0.386,7,29,0.241,20,28,0.714,14,53,25,2,4,11,14,1,1
36,85,0.424,5,22,0.227,25,28,0.893,7,48,22,4,13,8,13,40,106,0.377,9,22,0.409,11,15,0.733,18,58,22,4,5,7,17,1,1
37,83,0.446,14,33,0.424,9,13,0.692,11,44,24,3,7,18,19,36,80,0.45,11,23,0.478,22,28,0.786,8,44,26,14,4,11,19,0,1
38,95,0.4,9,30,0.3,23,26,0.885,5,48,25,5,8,15,27,39,98,0.398,12,38,0.316,20,31,0.645,11,57,27,9,6,12,23,0,0
39,95,0.411,11,34,0.324,14,19,0.737,13,50,26,16,3,16,21,30,81,0.37,12,31,0.387,18,30,0.6,11,51,19,13,4,24,19,1,0
33,76,0.434,12,32,0.375,17,21,0.81,5,41,23,4,12,13,19,32,84,0.381,8,21,0.381,15,20,0.75,8,46,16,10,4,11,16,1,0
46,88,0.523,17,33,0.515,9,11,0.818,5,44,31,10,10,17,22,40,90,0.444,11,28,0.393,16,24,0.667,10,40,26,10,6,15,21,1,0
39,87,0.448,8,30,0.267,8,15,0.533,10,42,23,8,6,15,18,40,83,0.482,11,29,0.379,18,20,0.9,9,47,17,9,4,15,14,0,1
32,81,0.395,11,29,0.379,23,31,0.742,9,47,22,13,5,22,21,42,88,0.477,9,28,0.321,16,30,0.533,11,51,25,14,4,19,22,0,1
39,85,0.459,8,24,0.333,26,27,0.963,10,41,31,10,7,17,23,34,83,0.41,7,22,0.318,20,23,0.87,14,46,12,11,6,22,22,1,0
32,85,0.376,7,26,0.269,32,41,0.78,7,38,23,14,3,17,28,36,82,0.439,11,26,0.423,30,35,0.857,9,53,23,11,3,21,33,0,0
35,98,0.357,6,29,0.207,11,14,0.786,16,45,21,10,5,16,23,36,83,0.434,5,19,0.263,18,25,0.72,10,51,22,10,6,18,16,0,0
35,83,0.422,10,27,0.37,18,22,0.818,15,49,20,7,5,19,22,35,91,0.385,8,23,0.348,22,29,0.759,21,53,18,10,1,14,20,0,1
44,97,0.454,12,30,0.4,18,23,0.783,15,53,24,18,5,17,21,36,88,0.409,8,25,0.32,18,23,0.783,10,45,23,10,8,24,27,1,0
38,86,0.442,7,30,0.233,16,19,0.842,14,45,21,11,6,12,18,30,73,0.411,6,17,0.353,17,23,0.739,9,41,14,10,2,17,18,1,1
32,77,0.416,4,24,0.167,23,32,0.719,8,36,18,10,3,18,26,38,79,0.481,6,17,0.353,20,31,0.645,10,41,20,9,6,18,28,0,0
42,103,0.408,11,33,0.333,11,12,0.917,17,50,27,10,7,10,18,36,76,0.474,6,20,0.3,15,20,0.75,5,35,26,3,2,16,14,1,0
39,82,0.476,9,23,0.391,13,20,0.65,12,47,25,12,7,18,26,28,77,0.364,6,25,0.24,23,29,0.793,10,34,18,10,6,18,20,1,1
44,93,0.473,11,36,0.306,12,17,0.706,16,49,27,16,3,19,22,36,85,0.424,11,32,0.344,12,23,0.522,14,46,23,10,6,22,20,1,1
38,92,0.413,8,26,0.308,18,24,0.75,14,43,22,12,1,14,28,37,72,0.514,7,20,0.35,25,35,0.714,7,39,22,7,7,17,22,0,0
51,87,0.586,10,29,0.345,8,10,0.8,7,41,39,10,4,16,19,35,89,0.393,8,19,0.421,17,24,0.708,14,44,17,10,0,19,13,1,0
35,82,0.427,14,37,0.378,17,21,0.81,10,35,19,9,2,17,28,40,79,0.506,5,15,0.333,26,33,0.788,14,49,18,11,4,14,20,0,1
34,82,0.415,9,21,0.429,20,26,0.769,10,33,23,14,2,16,19,45,80,0.563,12,24,0.5,19,22,0.864,6,43,33,8,7,20,25,0,1
31,91,0.341,9,29,0.31,13,18,0.722,11,54,18,7,6,16,12,31,83,0.373,7,27,0.259,11,15,0.733,7,50,12,11,14,18,21,1,0
42,97,0.433,12,33,0.364,15,19,0.789,19,58,28,11,7,15,15,27,84,0.321,5,18,0.278,19,22,0.864,13,46,16,7,4,22,19,1,0
36,88,0.409,5,27,0.185,14,20,0.7,9,34,28,7,6,11,16,45,93,0.484,9,25,0.36,11,16,0.688,17,54,24,6,7,13,20,0,1
38,80,0.475,8,20,0.4,21,25,0.84,12,40,23,15,3,15,21,36,75,0.48,5,17,0.294,18,24,0.75,11,38,21,9,6,18,19,1,1
40,84,0.476,14,33,0.424,20,24,0.833,6,40,34,14,5,16,32,29,77,0.377,7,21,0.333,32,41,0.78,9,46,21,8,4,19,20,1,1
39,86,0.453,12,29,0.414,15,22,0.682,11,39,22,9,3,14,22,44,83,0.53,5,17,0.294,15,22,0.682,11,47,26,3,3,14,22,0,1
40,81,0.494,12,28,0.429,19,24,0.792,10,46,24,8,8,17,18,37,90,0.411,4,13,0.308,15,18,0.833,13,44,21,8,6,14,17,1,1
38,92,0.413,5,23,0.217,24,28,0.857,13,45,22,10,4,12,22,39,91,0.429,6,21,0.286,16,23,0.696,15,50,22,7,5,16,18,1,0
49,114,0.43,12,33,0.364,9,16,0.563,11,51,32,7,9,15,30,42,107,0.393,9,31,0.29,31,39,0.795,17,67,28,10,11,18,22,0,0
40,96,0.417,9,25,0.36,9,10,0.9,3,42,26,5,5,5,13,36,88,0.409,11,35,0.314,10,10,1,7,52,17,1,5,11,12,1,1
28,87,0.322,9,32,0.281,12,14,0.857,12,41,18,6,6,10,11,36,78,0.462,8,23,0.348,9,10,0.9,6,46,17,5,7,14,17,0,0
43,89,0.483,10,25,0.4,20,24,0.833,10,44,17,4,2,18,35,38,78,0.487,11,21,0.524,32,43,0.744,7,36,13,5,4,11,22,0,1
34,77,0.442,10,23,0.435,23,31,0.742,6,43,19,5,2,21,25,41,88,0.466,4,20,0.2,23,29,0.793,9,42,23,11,4,12,28,0,0
46,89,0.517,12,25,0.48,9,16,0.563,12,50,34,6,9,16,22,36,79,0.456,2,13,0.154,25,32,0.781,6,36,20,9,6,12,19,1,0
36,85,0.424,7,29,0.241,23,26,0.885,10,49,25,9,4,13,23,29,81,0.358,8,28,0.286,23,32,0.719,12,44,19,6,6,16,18,1,1
39,84,0.464,4,23,0.174,17,23,0.739,11,47,20,6,1,14,24,35,91,0.385,6,25,0.24,17,25,0.68,18,51,16,11,2,15,24,1,1
36,85,0.424,8,20,0.4,20,29,0.69,12,51,18,5,4,10,24,33,89,0.371,4,19,0.211,21,24,0.875,13,48,15,6,4,13,23,1,0
38,88,0.432,7,27,0.259,21,25,0.84,9,45,23,7,5,10,20,43,94,0.457,9,19,0.474,17,23,0.739,13,52,22,5,2,10,22,0,0
34,88,0.386,7,32,0.219,22,28,0.786,16,51,17,8,4,14,24,38,93,0.409,3,18,0.167,21,22,0.955,14,50,23,5,2,14,21,0,0
41,92,0.446,6,21,0.286,15,19,0.789,12,48,22,10,5,7,21,32,85,0.376,6,28,0.214,24,27,0.889,16,53,16,4,6,14,18,1,1
34,91,0.374,6,28,0.214,20,27,0.741,13,39,23,5,5,10,28,33,74,0.446,10,27,0.37,23,36,0.639,11,47,18,4,5,18,27,0,0
35,98,0.357,5,25,0.2,17,22,0.773,15,51,17,11,3,11,19,39,94,0.415,9,22,0.409,14,17,0.824,12,54,23,4,5,16,18,0,1
37,88,0.42,7,22,0.318,17,23,0.739,11,39,22,17,4,16,28,31,84,0.369,4,16,0.25,35,40,0.875,21,58,12,8,9,21,23,0,1
42,86,0.488,9,29,0.31,21,26,0.808,7,42,25,5,4,9,20,43,81,0.531,7,20,0.35,27,30,0.9,6,39,24,5,5,11,17,0,1
40,90,0.444,9,26,0.346,14,20,0.7,14,49,24,7,2,19,18,37,91,0.407,5,30,0.167,15,20,0.75,13,48,18,12,3,17,20,1,0
42,96,0.438,14,30,0.467,19,29,0.655,17,56,30,12,5,12,19,35,89,0.393,10,27,0.37,23,28,0.821,9,45,24,9,5,14,22,1,0
39,88,0.443,9,29,0.31,32,36,0.889,17,47,27,7,3,16,25,40,89,0.449,6,22,0.273,31,36,0.861,14,42,25,13,5,13,27,1,1
40,94,0.426,12,30,0.4,21,26,0.808,13,49,24,9,3,12,30,40,93,0.43,16,34,0.471,22,24,0.917,11,51,23,4,2,14,21,0,1
43,85,0.506,12,26,0.462,11,15,0.733,8,33,30,8,1,14,19,46,83,0.554,11,29,0.379,12,17,0.706,9,37,23,7,5,13,15,0,1
43,96,0.448,8,23,0.348,16,21,0.762,16,46,26,14,6,12,22,38,89,0.427,3,13,0.231,22,26,0.846,15,50,11,7,4,20,19,1,0
43,97,0.443,11,25,0.44,15,19,0.789,15,51,29,14,2,16,17,35,89,0.393,8,26,0.308,14,20,0.7,13,47,17,12,6,23,20,1,1
44,90,0.489,9,22,0.409,19,23,0.826,7,43,31,12,1,10,23,32,75,0.427,7,24,0.292,20,30,0.667,5,39,24,5,3,20,19,1,1
41,96,0.427,9,28,0.321,20,24,0.833,14,48,29,15,5,11,24,36,84,0.429,7,21,0.333,24,32,0.75,14,53,23,4,6,20,22,1,0
43,86,0.5,10,24,0.417,17,21,0.81,8,46,28,8,6,12,20,32,79,0.405,7,20,0.35,23,29,0.793,9,41,17,9,4,16,18,1,0
39,93,0.419,16,46,0.348,20,25,0.8,13,41,17,9,2,10,22,44,82,0.537,10,24,0.417,21,35,0.6,12,50,27,7,6,15,24,0,1
40,90,0.444,3,19,0.158,14,17,0.824,12,45,20,9,2,10,24,31,82,0.378,6,20,0.3,21,28,0.75,16,50,13,3,4,16,16,1,1
42,96,0.438,7,21,0.333,11,13,0.846,6,49,28,8,7,10,24,32,85,0.376,11,34,0.324,20,28,0.714,9,48,18,3,5,16,18,1,0
38,88,0.432,7,20,0.35,21,25,0.84,11,49,21,6,5,15,27,37,87,0.425,8,30,0.267,21,35,0.6,15,47,21,8,6,14,25,1,1
51,91,0.56,13,24,0.542,13,15,0.867,12,49,34,9,5,24,19,47,95,0.495,10,26,0.385,15,19,0.789,7,32,32,15,5,14,18,1,0
39,84,0.464,10,29,0.345,23,24,0.958,13,44,28,11,2,18,23,45,88,0.511,7,19,0.368,15,23,0.652,11,38,25,5,6,14,20,0,1
47,95,0.495,13,33,0.394,32,37,0.865,8,43,34,5,2,10,33,44,85,0.518,12,30,0.4,34,50,0.68,9,44,25,7,9,14,29,1,0
30,81,0.37,7,25,0.28,26,36,0.722,8,34,18,8,3,7,31,37,68,0.544,10,23,0.435,27,44,0.614,8,51,22,4,8,15,26,0,1
47,97,0.485,10,32,0.313,17,20,0.85,15,48,32,11,2,17,25,34,73,0.466,6,21,0.286,27,34,0.794,6,36,19,11,5,24,26,1,1
49,101,0.485,10,28,0.357,14,17,0.824,10,38,33,13,2,11,27,43,83,0.518,8,15,0.533,30,40,0.75,15,51,24,5,6,17,17,0,1
41,84,0.488,5,23,0.217,25,33,0.758,9,42,21,9,3,16,21,42,87,0.483,4,15,0.267,19,25,0.76,7,35,26,9,7,14,27,1,0
39,96,0.406,5,16,0.313,18,22,0.818,12,48,26,12,6,11,19,36,87,0.414,1,13,0.077,16,23,0.696,14,54,19,7,12,18,19,1,0
37,84,0.44,6,18,0.333,20,29,0.69,11,47,27,6,13,9,18,38,101,0.376,7,24,0.292,12,17,0.706,15,52,23,6,4,9,21,1,0
43,107,0.402,7,26,0.269,23,24,0.958,19,57,20,9,8,5,16,34,84,0.405,11,29,0.379,14,20,0.7,12,48,15,4,7,14,21,1,0
41,90,0.456,4,20,0.2,19,25,0.76,13,51,20,8,2,8,14,42,92,0.457,9,23,0.391,11,14,0.786,10,45,22,4,3,10,18,1,0
37,80,0.463,10,23,0.435,19,27,0.704,10,37,17,8,1,14,22,42,82,0.512,10,30,0.333,26,34,0.765,15,47,27,8,4,15,21,0,1
41,87,0.471,15,32,0.469,19,24,0.792,7,38,26,9,7,13,27,32,84,0.381,7,26,0.269,25,31,0.806,16,48,20,8,7,19,22,1,0
34,91,0.374,8,31,0.258,22,28,0.786,14,45,24,14,3,14,17,40,88,0.455,5,26,0.192,17,25,0.68,15,50,19,8,3,17,21,0,0
36,94,0.383,8,31,0.258,18,22,0.818,17,50,23,6,3,13,21,39,84,0.464,5,12,0.417,20,28,0.714,11,45,18,9,7,13,18,0,1
40,93,0.43,5,19,0.263,24,27,0.889,16,42,17,4,4,11,22,47,96,0.49,12,29,0.414,24,30,0.8,16,53,23,7,5,10,24,0,0
36,82,0.439,9,21,0.429,10,12,0.833,7,37,18,8,3,15,18,37,77,0.481,13,28,0.464,18,25,0.72,7,40,18,10,8,12,19,0,1
46,94,0.489,10,25,0.4,18,21,0.857,14,53,28,8,3,13,24,39,92,0.424,8,21,0.381,19,27,0.704,12,40,28,5,7,11,19,1,1
40,85,0.471,7,22,0.318,20,24,0.833,9,46,22,8,6,14,16,39,93,0.419,5,19,0.263,13,19,0.684,14,45,15,9,7,11,20,1,0
35,80,0.438,8,20,0.4,13,21,0.619,7,48,24,5,5,8,18,31,89,0.348,6,22,0.273,11,20,0.55,15,52,13,3,7,11,15,1,0
35,84,0.417,8,29,0.276,24,27,0.889,17,49,14,7,3,19,23,37,85,0.435,7,31,0.226,18,21,0.857,12,44,19,7,3,20,24,1,1
31,89,0.348,7,19,0.368,21,27,0.778,18,49,14,7,4,16,17,44,84,0.524,11,25,0.44,15,18,0.833,9,45,29,13,5,14,23,0,1
37,88,0.42,9,24,0.375,26,34,0.765,16,48,20,12,6,15,25,41,90,0.456,14,34,0.412,20,27,0.741,15,50,26,9,10,15,20,0,1
41,87,0.471,8,23,0.348,19,30,0.633,11,44,28,10,1,14,14,38,83,0.458,20,43,0.465,10,13,0.769,8,41,25,12,7,22,24,1,1
41,91,0.451,8,30,0.267,17,22,0.773,9,50,30,8,1,12,25,37,90,0.411,6,21,0.286,20,29,0.69,11,47,22,6,4,11,17,1,1
36,87,0.414,10,34,0.294,22,27,0.815,8,41,24,10,7,9,20,34,78,0.436,9,24,0.375,20,23,0.87,8,49,21,5,2,22,28,1,0
44,78,0.564,6,14,0.429,30,38,0.789,4,34,35,6,9,14,23,41,84,0.488,7,17,0.412,20,29,0.69,7,38,30,10,5,19,27,1,0
40,90,0.444,11,28,0.393,16,24,0.667,10,40,26,10,6,15,21,46,88,0.523,17,33,0.515,9,11,0.818,5,44,31,10,10,17,22,0,1
34,89,0.382,8,24,0.333,24,29,0.828,13,46,17,6,1,12,17,41,81,0.506,14,32,0.438,18,22,0.818,7,44,23,10,7,14,20,0,0
37,86,0.43,5,14,0.357,19,22,0.864,10,39,20,7,3,7,20,38,88,0.432,2,19,0.105,10,12,0.833,14,44,14,5,10,8,21,1,0
37,87,0.425,7,19,0.368,16,23,0.696,7,47,13,6,10,13,22,38,94,0.404,9,29,0.31,10,17,0.588,11,50,26,5,7,10,21,1,0
42,78,0.538,14,28,0.5,17,20,0.85,5,39,20,9,3,19,24,39,93,0.419,0,9,0,22,28,0.786,16,45,19,11,5,13,18,1,1
34,84,0.405,7,22,0.318,19,26,0.731,8,50,18,8,8,19,24,39,104,0.375,6,28,0.214,14,28,0.5,20,61,18,9,2,14,19,0,1
33,87,0.379,7,28,0.25,19,22,0.864,11,47,23,7,8,13,16,35,90,0.389,7,23,0.304,10,17,0.588,12,43,21,7,11,16,19,1,0
44,90,0.489,14,30,0.467,3,8,0.375,4,33,26,5,0,12,19,47,91,0.516,14,23,0.609,22,23,0.957,12,52,26,6,4,9,11,0,1
40,90,0.444,7,18,0.389,17,21,0.81,11,47,20,3,7,6,17,38,84,0.452,5,13,0.385,17,20,0.85,9,44,21,2,8,9,18,1,0
